,reconstruction_error,run,iterations,k,noise
78,0.2429227164574145,3,112,124,Salt and Pepper p=0.1 r=0
79,0.24367695898936162,4,110,124,Salt and Pepper p=0.1 r=0
80,0.2514663577286034,0,110,124,Salt and Pepper p=0.1 r=0.5
81,0.25047976828231083,1,110,124,Salt and Pepper p=0.1 r=0.5
82,0.2507538173345961,2,109,124,Salt and Pepper p=0.1 r=0.5
83,0.2515046561014852,3,111,124,Salt and Pepper p=0.1 r=0.5
84,0.25136057297533526,4,109,124,Salt and Pepper p=0.1 r=0.5
85,0.289644674229713,0,118,124,Salt and Pepper p=0.1 r=1
86,0.28988031548033116,1,119,124,Salt and Pepper p=0.1 r=1
87,0.29068808911055255,2,118,124,Salt and Pepper p=0.1 r=1
88,0.29208181184583226,3,118,124,Salt and Pepper p=0.1 r=1
89,0.2900118358995405,4,118,124,Salt and Pepper p=0.1 r=1
90,0.43885654785872036,0,82,124,Salt and Pepper p=0.3 r=0
91,0.4384491298935626,1,81,124,Salt and Pepper p=0.3 r=0
92,0.4402409761374193,2,82,124,Salt and Pepper p=0.3 r=0
93,0.4399735123663533,3,82,124,Salt and Pepper p=0.3 r=0
94,0.4372132168836689,4,81,124,Salt and Pepper p=0.3 r=0
95,0.42170574499867314,0,88,124,Salt and Pepper p=0.3 r=0.5
96,0.4203335980330176,1,87,124,Salt and Pepper p=0.3 r=0.5
97,0.4190237047448077,2,88,124,Salt and Pepper p=0.3 r=0.5
98,0.42343897025666233,3,88,124,Salt and Pepper p=0.3 r=0.5
99,0.4187260144879619,4,88,124,Salt and Pepper p=0.3 r=0.5
100,0.5346319264021225,0,108,124,Salt and Pepper p=0.3 r=1
101,0.5343651397107465,1,108,124,Salt and Pepper p=0.3 r=1
102,0.5351812361530385,2,108,124,Salt and Pepper p=0.3 r=1
103,0.5358020987011689,3,107,124,Salt and Pepper p=0.3 r=1
104,0.5386887263594377,4,108,124,Salt and Pepper p=0.3 r=1
105,0.6118759955295329,0,73,124,Salt and Pepper p=0.5 r=0
106,0.6115016374758726,1,69,124,Salt and Pepper p=0.5 r=0
107,0.611984284535086,2,72,124,Salt and Pepper p=0.5 r=0
108,0.6116613722308575,3,73,124,Salt and Pepper p=0.5 r=0
109,0.6115128942691075,4,72,124,Salt and Pepper p=0.5 r=0
110,0.5465437360009587,0,79,124,Salt and Pepper p=0.5 r=0.5
111,0.5446928893120758,1,79,124,Salt and Pepper p=0.5 r=0.5
112,0.543232235962975,2,78,124,Salt and Pepper p=0.5 r=0.5
113,0.5471348118357987,3,79,124,Salt and Pepper p=0.5 r=0.5
114,0.5419897194059595,4,79,124,Salt and Pepper p=0.5 r=0.5
115,0.742440455374565,0,112,124,Salt and Pepper p=0.5 r=1
116,0.7391402731839789,1,112,124,Salt and Pepper p=0.5 r=1
117,0.745131265392744,2,112,124,Salt and Pepper p=0.5 r=1
118,0.7411134500078725,3,112,124,Salt and Pepper p=0.5 r=1
119,0.7430660696784973,4,111,124,Salt and Pepper p=0.5 r=1
120,0.7786466255796014,0,76,124,Salt and Pepper p=0.7 r=0
121,0.7793109245259306,1,74,124,Salt and Pepper p=0.7 r=0
122,0.7796168548014155,2,80,124,Salt and Pepper p=0.7 r=0
123,0.7797684071004072,3,78,124,Salt and Pepper p=0.7 r=0
124,0.7789943665324189,4,78,124,Salt and Pepper p=0.7 r=0
125,0.6448698063034181,0,73,124,Salt and Pepper p=0.7 r=0.5
126,0.6422312923839137,1,74,124,Salt and Pepper p=0.7 r=0.5
127,0.6392059472594988,2,74,124,Salt and Pepper p=0.7 r=0.5
128,0.6374986360987221,3,74,124,Salt and Pepper p=0.7 r=0.5
129,0.6410427418530568,4,74,124,Salt and Pepper p=0.7 r=0.5
130,0.9387106784404271,0,123,124,Salt and Pepper p=0.7 r=1
131,0.9387783493267357,1,123,124,Salt and Pepper p=0.7 r=1
132,0.9409937411271267,2,124,124,Salt and Pepper p=0.7 r=1
133,0.9422300920269281,3,124,124,Salt and Pepper p=0.7 r=1
134,0.9388213991054958,4,124,124,Salt and Pepper p=0.7 r=1
135,0.9282972363161384,0,42,124,Salt and Pepper p=0.9 r=0
136,0.9289595849872148,1,43,124,Salt and Pepper p=0.9 r=0
137,0.9285580045043521,2,40,124,Salt and Pepper p=0.9 r=0
138,0.9290938402305539,3,43,124,Salt and Pepper p=0.9 r=0
139,0.9290439362026628,4,39,124,Salt and Pepper p=0.9 r=0
140,0.7252615751843327,0,70,124,Salt and Pepper p=0.9 r=0.5
141,0.7210661314338626,1,69,124,Salt and Pepper p=0.9 r=0.5
142,0.7223713785159509,2,70,124,Salt and Pepper p=0.9 r=0.5
143,0.7212234326920548,3,70,124,Salt and Pepper p=0.9 r=0.5
144,0.7217047214090062,4,70,124,Salt and Pepper p=0.9 r=0.5
145,1.121127194165932,0,24,124,Salt and Pepper p=0.9 r=1
146,1.115262296607851,1,22,124,Salt and Pepper p=0.9 r=1
147,1.1151167049598565,2,21,124,Salt and Pepper p=0.9 r=1
148,1.121059570675036,3,22,124,Salt and Pepper p=0.9 r=1
149,1.1184904108860885,4,22,124,Salt and Pepper p=0.9 r=1
150,0.2696352932352167,0,152,247,Salt and Pepper p=0.1 r=0
151,0.26953815262412145,1,152,247,Salt and Pepper p=0.1 r=0
152,0.2692805207687609,2,150,247,Salt and Pepper p=0.1 r=0
153,0.2693337670780509,3,151,247,Salt and Pepper p=0.1 r=0
154,0.27024359768168066,4,151,247,Salt and Pepper p=0.1 r=0
155,0.29803156731926095,0,162,247,Salt and Pepper p=0.1 r=0.5
156,0.2980455667848129,1,162,247,Salt and Pepper p=0.1 r=0.5
157,0.2975126427226987,2,161,247,Salt and Pepper p=0.1 r=0.5
158,0.29913724090864574,3,163,247,Salt and Pepper p=0.1 r=0.5
159,0.2975202464712222,4,163,247,Salt and Pepper p=0.1 r=0.5
160,0.34507197374308224,0,192,247,Salt and Pepper p=0.1 r=1
161,0.3443150770440666,1,192,247,Salt and Pepper p=0.1 r=1
162,0.3429650777402241,2,189,247,Salt and Pepper p=0.1 r=1
163,0.34310640949334587,3,189,247,Salt and Pepper p=0.1 r=1
164,0.34207356493700725,4,186,247,Salt and Pepper p=0.1 r=1
165,0.48490121036182166,0,120,247,Salt and Pepper p=0.3 r=0
166,0.48402381339923295,1,121,247,Salt and Pepper p=0.3 r=0
167,0.4846038381168704,2,121,247,Salt and Pepper p=0.3 r=0
168,0.48456512026391935,3,121,247,Salt and Pepper p=0.3 r=0
169,0.48476553272487277,4,121,247,Salt and Pepper p=0.3 r=0
170,0.5168293799748023,0,150,247,Salt and Pepper p=0.3 r=0.5
171,0.5135138266914905,1,140,247,Salt and Pepper p=0.3 r=0.5
172,0.5157541837810916,2,141,247,Salt and Pepper p=0.3 r=0.5
173,0.5139882786032802,3,143,247,Salt and Pepper p=0.3 r=0.5
174,0.5173801834722606,4,147,247,Salt and Pepper p=0.3 r=0.5
175,0.6007661629597205,0,165,247,Salt and Pepper p=0.3 r=1
176,0.6024150235627941,1,160,247,Salt and Pepper p=0.3 r=1
177,0.5997973276114462,2,161,247,Salt and Pepper p=0.3 r=1
178,0.6001453598726512,3,160,247,Salt and Pepper p=0.3 r=1
179,0.6015958292896206,4,164,247,Salt and Pepper p=0.3 r=1
180,0.670794057808175,0,201,247,Salt and Pepper p=0.5 r=0
181,0.6710746582757495,1,201,247,Salt and Pepper p=0.5 r=0
182,0.6705427821925978,2,201,247,Salt and Pepper p=0.5 r=0
183,0.669289740406293,3,201,247,Salt and Pepper p=0.5 r=0
184,0.6713054561132171,4,201,247,Salt and Pepper p=0.5 r=0
185,0.6657828417546507,0,138,247,Salt and Pepper p=0.5 r=0.5
186,0.6702196072791375,1,142,247,Salt and Pepper p=0.5 r=0.5
187,0.6711008746624378,2,146,247,Salt and Pepper p=0.5 r=0.5
188,0.6720420771758071,3,144,247,Salt and Pepper p=0.5 r=0.5
189,0.6745813084651548,4,149,247,Salt and Pepper p=0.5 r=0.5
190,0.7987729131403624,0,159,247,Salt and Pepper p=0.5 r=1
191,0.7953345818607936,1,160,247,Salt and Pepper p=0.5 r=1
192,0.8026249741151393,2,161,247,Salt and Pepper p=0.5 r=1
193,0.7985443312416493,3,159,247,Salt and Pepper p=0.5 r=1
194,0.800214003087917,4,159,247,Salt and Pepper p=0.5 r=1
195,0.8172081482462118,0,114,247,Salt and Pepper p=0.7 r=0
196,0.8164685960147803,1,115,247,Salt and Pepper p=0.7 r=0
197,0.8164052453052103,2,112,247,Salt and Pepper p=0.7 r=0
198,0.8169517845427025,3,115,247,Salt and Pepper p=0.7 r=0
199,0.816331763791963,4,112,247,Salt and Pepper p=0.7 r=0
200,0.8001957239909722,0,156,247,Salt and Pepper p=0.7 r=0.5
201,0.7940041905837015,1,146,247,Salt and Pepper p=0.7 r=0.5
202,0.7953218239696371,2,152,247,Salt and Pepper p=0.7 r=0.5
203,0.7985242217326803,3,154,247,Salt and Pepper p=0.7 r=0.5
204,0.791517470895502,4,142,247,Salt and Pepper p=0.7 r=0.5
205,0.9800852427367603,0,179,247,Salt and Pepper p=0.7 r=1
206,0.9809776521947416,1,180,247,Salt and Pepper p=0.7 r=1
207,0.9778598799296149,2,181,247,Salt and Pepper p=0.7 r=1
208,0.9782430692870248,3,179,247,Salt and Pepper p=0.7 r=1
209,0.9815717371407833,4,182,247,Salt and Pepper p=0.7 r=1
210,0.9418437255481702,0,54,247,Salt and Pepper p=0.9 r=0
211,0.9416587430507887,1,56,247,Salt and Pepper p=0.9 r=0
212,0.9416071483377303,2,59,247,Salt and Pepper p=0.9 r=0
213,0.9414850908865784,3,56,247,Salt and Pepper p=0.9 r=0
214,0.9416548813179322,4,58,247,Salt and Pepper p=0.9 r=0
215,0.8991835338560958,0,151,247,Salt and Pepper p=0.9 r=0.5
216,0.9034718562751394,1,168,247,Salt and Pepper p=0.9 r=0.5
217,0.9012405615044812,2,146,247,Salt and Pepper p=0.9 r=0.5
218,0.8984107428020713,3,144,247,Salt and Pepper p=0.9 r=0.5
219,0.895544732729595,4,137,247,Salt and Pepper p=0.9 r=0.5
220,1.139077943735813,0,201,247,Salt and Pepper p=0.9 r=1
221,1.144495089413588,1,201,247,Salt and Pepper p=0.9 r=1
222,1.1547001146929363,2,201,247,Salt and Pepper p=0.9 r=1
223,1.1488742839186645,3,201,247,Salt and Pepper p=0.9 r=1
224,1.1468349956072257,4,201,247,Salt and Pepper p=0.9 r=1
225,0.28688449294962903,0,193,370,Salt and Pepper p=0.1 r=0
226,0.28835435565361917,1,192,370,Salt and Pepper p=0.1 r=0
227,0.286131634713774,2,194,370,Salt and Pepper p=0.1 r=0
228,0.28734394274691083,3,192,370,Salt and Pepper p=0.1 r=0
229,0.2867815770625562,4,194,370,Salt and Pepper p=0.1 r=0
230,0.3251822913348112,0,201,370,Salt and Pepper p=0.1 r=0.5
231,0.32348710666564406,1,201,370,Salt and Pepper p=0.1 r=0.5
232,0.3252245955339021,2,201,370,Salt and Pepper p=0.1 r=0.5
233,0.32440912551564643,3,201,370,Salt and Pepper p=0.1 r=0.5
234,0.32517784412600104,4,201,370,Salt and Pepper p=0.1 r=0.5
235,0.36737750386415574,0,201,370,Salt and Pepper p=0.1 r=1
236,0.37028246102520684,1,201,370,Salt and Pepper p=0.1 r=1
237,0.37251888360959234,2,201,370,Salt and Pepper p=0.1 r=1
238,0.371411529389315,3,201,370,Salt and Pepper p=0.1 r=1
239,0.36877399196975924,4,201,370,Salt and Pepper p=0.1 r=1
240,0.5175924542899206,0,201,370,Salt and Pepper p=0.3 r=0
241,0.517475297007062,1,201,370,Salt and Pepper p=0.3 r=0
242,0.5167587900760015,2,201,370,Salt and Pepper p=0.3 r=0
243,0.5158252760374845,3,190,370,Salt and Pepper p=0.3 r=0
244,0.5156641502636324,4,193,370,Salt and Pepper p=0.3 r=0
245,0.5715064043559276,0,201,370,Salt and Pepper p=0.3 r=0.5
246,0.5741795926888479,1,201,370,Salt and Pepper p=0.3 r=0.5
247,0.5751249244120537,2,201,370,Salt and Pepper p=0.3 r=0.5
248,0.5712040478666299,3,201,370,Salt and Pepper p=0.3 r=0.5
249,0.5728439197972413,4,201,370,Salt and Pepper p=0.3 r=0.5
250,0.6397966317365504,0,201,370,Salt and Pepper p=0.3 r=1
251,0.6412349540787906,1,201,370,Salt and Pepper p=0.3 r=1
252,0.636824313594514,2,201,370,Salt and Pepper p=0.3 r=1
253,0.6345783807565696,3,201,370,Salt and Pepper p=0.3 r=1
254,0.6377979711152725,4,201,370,Salt and Pepper p=0.3 r=1
255,0.6967502956189195,0,201,370,Salt and Pepper p=0.5 r=0
256,0.6975015283658555,1,201,370,Salt and Pepper p=0.5 r=0
257,0.6977764054700827,2,201,370,Salt and Pepper p=0.5 r=0
258,0.6978371396419237,3,201,370,Salt and Pepper p=0.5 r=0
259,0.6960271318976063,4,201,370,Salt and Pepper p=0.5 r=0
260,0.749744736312049,0,201,370,Salt and Pepper p=0.5 r=0.5
261,0.7531031827553007,1,201,370,Salt and Pepper p=0.5 r=0.5
262,0.7490086135157339,2,201,370,Salt and Pepper p=0.5 r=0.5
263,0.749257816999774,3,201,370,Salt and Pepper p=0.5 r=0.5
264,0.7480243434289342,4,201,370,Salt and Pepper p=0.5 r=0.5
